Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Javier Salas,,0,0,5.02,0,1,0,1,1,1,0,1,1,1.6,7.6,5.25,5.14,0,0,999,sa738903
Adrian Sampson,Athletics,0,0,5.19,0,0,0,1,1,1,0,1,0,1.4,5.49,2.38,5.14,0,0,999,13339
Tyler Ivey,Astros,0,0,5.11,0,0,0,1,1,1,0,1,0,1.5,7.07,4.04,5.14,0,0,999,sa3004574
Darren McCaughan,Mariners,0,0,5.12,0,0,0,1,1,1,0,1,0,1.44,6.23,3.11,5.14,0,0,999,sa3005014
Jacob Patterson,Cardinals,0,0,4.85,0,1,0,1,1,1,0,1,1,1.6,7.54,5.48,5.14,0,-0.1,999,sa3002777
Paul Voelker,Tigers,0,0,5.14,0,1,0,1,1,1,0,1,0,1.47,7.47,3.89,5.14,0,0,999,sa829176
Ben Lively,Royals,1,1,5.11,5,0,0,1,1,1,0,1,0,1.41,6.3,3.06,5.14,0,0,999,14932
Matt Alvarez,,0,0,5.02,0,1,0,1,1,1,0,1,1,1.6,7.99,5.45,5.14,0,0,999,sa752901
Buddy Borden,,0,0,5.01,0,1,0,1,1,1,0,1,1,1.57,7.71,5.12,5.15,0,0,999,sa737851
Jason Forjet,Giants,0,0,5.06,0,0,0,1,1,1,0,1,0,1.46,6.05,3.51,5.15,0,0,999,sa658835
Eric Surkamp,,0,0,5.04,0,0,0,1,1,1,0,1,0,1.46,6.78,3.49,5.15,0,0,999,2540
Greg Ross,,0,0,5.14,0,0,0,1,1,1,0,1,0,1.52,5.64,3.54,5.15,0,0,999,sa599717
Louis Coleman,Tigers,0,0,5.04,0,1,0,1,1,1,0,1,0,1.5,7.69,4.38,5.15,0,0,999,9720
Michael Zouzalik,Orioles,0,0,5.07,0,1,0,1,1,1,0,1,0,1.48,6.89,3.65,5.15,0,0,999,sa702637
Connor Walsh,White Sox,0,0,4.97,0,1,0,1,1,1,0,1,1,1.59,8.49,5.6,5.15,0,0,999,sa829031
Mike Dunn,Rockies,2,3,5.19,0,50,0,50,51,29,8,47,27,1.56,8.41,4.88,5.15,-0.3,-0.1,999,9948
Jared Robinson,Indians,0,0,4.97,0,1,0,1,1,1,0,1,0,1.52,6.74,4.28,5.15,0,0,999,sa829022
Santiago Gutierrez,,0,0,4.88,0,1,0,1,1,1,0,1,1,1.61,6.02,4.75,5.15,0,0,999,sa295625
Michael Freeman,Astros,0,0,4.86,0,1,0,1,1,1,0,1,1,1.62,6.5,5.06,5.15,0,0,999,sa875187
Aaron Kurcz,Athletics,0,0,5.01,0,1,0,1,1,1,0,1,0,1.43,7.22,3.73,5.15,0,0,999,sa549903
David Holmberg,,0,0,5,0,1,0,1,1,1,0,1,0,1.47,5.74,3.17,5.15,0,0,999,7725
Kender Villegas,,0,0,5.07,0,1,0,1,1,1,0,1,0,1.51,6.93,4.12,5.15,0,0,999,sa546467
Alex Winkelman,Astros,0,0,4.94,0,1,0,1,1,1,0,1,1,1.58,7.51,5.15,5.16,0,0,999,sa874113
Foster Griffin,Royals,0,0,5.01,0,0,0,1,1,1,0,1,0,1.46,5.7,3.33,5.16,0,0,999,sa828674
Tyler Skulina,,0,0,5.01,0,1,0,1,1,1,0,1,1,1.53,7.63,4.78,5.16,0,0,999,sa550279
Kyle Farnsworth,,0,0,5.13,0,1,0,1,1,1,0,1,0,1.48,6.02,3.31,5.16,0,0,999,278
Jordan Humphreys,Mets,0,0,5.1,0,0,0,1,1,1,0,1,0,1.48,6.59,3.74,5.16,0,0,999,sa875762
Trevor Simms,,0,0,5.07,0,1,0,1,1,1,0,1,0,1.53,6.9,4.37,5.16,0,0,999,sa918792
Greg Harris,Rays,0,0,5.02,0,0,0,1,1,1,0,1,0,1.47,7.53,4.19,5.16,0,0,999,sa738173
Kyle Kendrick,,0,0,5.13,0,0,0,1,1,1,0,1,0,1.41,5.91,2.51,5.16,0,0,999,6230
Bernardo Flores,White Sox,0,0,4.97,0,0,0,1,1,1,0,1,0,1.47,5.51,3.19,5.16,0,0,999,sa874080
Luke Irvine,,0,0,5.14,0,0,0,1,1,1,0,1,0,1.49,6.39,3.61,5.16,0,0,999,sa550186
Jose Taveras,Phillies,0,0,5.07,0,0,0,1,1,1,0,1,0,1.39,7.83,3.31,5.16,0,0,999,sa828246
Eduardo Paredes,Tigers,0,0,5.13,0,1,0,1,1,1,0,1,0,1.49,7.36,4.06,5.16,0,0,999,16344
Starling Peralta,,0,0,5.09,0,1,0,1,1,1,0,1,0,1.5,6.6,3.9,5.16,0,0,999,sa508753
Keaton Steele,Twins,0,0,5.19,0,0,0,1,1,1,0,1,0,1.51,5.39,3.24,5.16,0,0,999,sa659420
Shao-Ching Chiang,Indians,0,0,5.1,0,0,0,1,1,1,0,1,0,1.42,5.2,2.52,5.16,0,0,999,sa659598
Rollie Lacy,Rays,0,0,5.04,0,0,0,1,1,1,0,1,1,1.58,6.26,4.58,5.16,0,0,999,sa913072
Guillermo Moscoso,Dodgers,0,0,4.97,0,0,0,1,1,1,0,1,0,1.4,7,3.34,5.17,0,0,999,5106
Frank Lopez,,0,0,5,0,0,0,1,1,1,0,1,0,1.52,6.95,4.33,5.17,0,0,999,sa597434
Tyler Herron,,0,0,5.16,0,0,0,1,1,1,0,1,0,1.45,6.52,3.28,5.17,0,0,999,sa290174
Wirkin Estevez,Nationals,0,0,5.16,0,0,0,1,1,1,0,1,0,1.56,5.71,3.91,5.17,0,0,999,sa550539
Walker Sheller,Royals,0,0,4.97,0,1,0,1,1,1,0,1,0,1.52,6.31,4.26,5.17,0,0,999,sa918177
P.J. Conlon,Mets,0,0,4.97,2,0,0,1,1,1,0,1,0,1.44,6.21,3.26,5.17,0,0,999,18213
Tom Eshelman,Phillies,0,0,5.12,0,0,0,1,1,1,0,1,0,1.41,6.45,2.79,5.17,0,0,999,sa874778
Tim Adleman,Reds,0,0,5.19,0,0,0,1,1,1,0,1,0,1.42,7.34,3.15,5.17,0,0,999,10968
Brian Johnson,Red Sox,1,1,5.1,3,0,0,1,1,1,0,1,0,1.46,6.88,3.61,5.17,0,0,999,14272
Todd Van Steensel,,0,0,5.01,0,1,0,1,1,1,0,1,1,1.5,8,4.66,5.17,0,0,999,sa505234
Deivi Garcia,Yankees,0,0,5.04,0,0,0,1,1,1,0,1,0,1.44,8.35,4.05,5.17,0,0,999,sa916944
Anthony Ranaudo,,0,0,5.14,0,0,0,1,1,1,0,1,0,1.42,6.5,2.94,5.17,0,0,999,11424
Ian McKinney,,0,0,4.9,0,1,0,1,1,1,0,1,1,1.58,7.35,5.13,5.17,0,0,999,sa738318
Adbert Alzolay,Cubs,0,0,5.1,2,0,0,1,1,1,0,1,0,1.45,6.81,3.55,5.17,0,0,999,sa735853
Kevin Correia,,0,0,5.27,0,0,0,1,1,1,0,1,0,1.47,5.71,2.79,5.17,0,0,999,1767
Boomer Biegalski,Athletics,0,0,5.01,0,1,0,1,1,1,0,1,0,1.5,7.16,4.39,5.17,0,0,999,sa873983
Daniel Camarena,Reds,0,0,5,0,0,0,1,1,1,0,1,0,1.47,6.73,3.68,5.17,0,0,999,sa599205
Franklyn Kilome,Mets,0,0,5.05,2,0,0,1,1,1,0,1,1,1.53,7.24,4.61,5.17,0,0,999,sa830592
Matt Esparza,Indians,0,0,5.07,0,0,0,1,1,1,0,1,0,1.46,6.74,3.62,5.17,0,0,999,sa875700
Logan Cozart,Rockies,0,0,5.27,0,1,0,1,1,1,0,1,0,1.51,7.5,3.96,5.17,0,0,999,sa875283
Benton Moss,Rays,0,0,5.11,0,0,0,1,1,1,0,1,0,1.41,6.12,2.89,5.18,0,0,999,sa829290
Brock Dykxhoorn,,0,0,5.05,0,0,0,1,1,1,0,1,0,1.4,7.51,3.44,5.18,0,0,999,sa658513
Lucas Long,Orioles,0,0,5.18,0,0,0,1,1,1,0,1,0,1.49,5.33,2.89,5.18,0,0,999,sa827466
Chris Ellis,Royals,3,4,5.05,10,20,0,65,67,37,11,50,27,1.43,6.88,3.7,5.18,0,0.2,999,sa602616
Franco Terrero,Royals,0,0,5,0,1,0,1,1,1,0,1,1,1.58,6.89,5,5.18,0,0,999,sa828421
Homer Bailey,Royals,0,0,5.23,0,0,0,1,1,1,0,1,0,1.46,5.58,2.98,5.18,0,0,999,8362
Ronel Blanco,Astros,0,0,5.04,0,1,0,1,1,1,0,1,1,1.54,8.14,5.02,5.18,0,0,999,sa919082
Justin Shafer,Blue Jays,0,0,5.11,0,1,0,1,1,1,0,1,0,1.54,6.54,4.24,5.18,0,0,999,16132
Jeff Thompson,,0,0,5.03,0,1,0,1,1,1,0,1,1,1.58,7.33,5.08,5.18,0,0,999,sa707780
Antonio Bastardo,,0,0,5.04,0,1,0,1,1,1,0,1,0,1.47,8.2,4.48,5.18,0,0,999,8844
Mike Hepple,,0,0,5.05,0,1,0,1,1,1,0,1,1,1.6,7.36,5.25,5.18,0,0,999,sa829930
Jaime Barria,Angels,4,3,4.93,19,0,0,1,1,1,0,1,0,1.38,6.81,3.13,5.18,0,0,487,18356
Hector Mendoza,Cardinals,0,0,5.01,0,1,0,1,1,1,0,1,0,1.51,7.25,4.5,5.18,0,-0.1,999,sa863882
Ranfi Casimiro,,0,0,5.12,0,0,0,1,1,1,0,1,0,1.52,6.63,4.09,5.18,0,0,999,sa603017
Argenis Angulo,Indians,0,0,5,0,1,0,1,1,1,0,1,1,1.51,8.29,4.87,5.18,0,0,999,sa829470
Thaddius Lowry,,0,0,5.14,0,0,0,1,1,1,0,1,0,1.47,6.4,3.47,5.18,0,0,999,sa737826
Chandler Hawkins,,0,0,4.99,0,1,0,1,1,1,0,1,0,1.53,7.16,4.49,5.18,0,0,999,sa876115
Tony Santillan,Reds,0,0,5.09,0,0,0,1,1,1,0,1,0,1.48,7.29,4.03,5.18,0,0,999,sa874781
Adrian De Horta,Angels,0,0,5,0,0,0,1,1,1,0,1,0,1.46,6.94,3.92,5.18,0,0,999,sa737857
Ariel Pena,Brewers,0,0,5.08,0,1,0,1,1,1,0,1,1,1.53,7.99,4.76,5.19,0,0,999,10240
David Buchanan,,0,0,5.2,0,0,0,1,1,1,0,1,0,1.48,5.28,2.96,5.19,0,0,999,11176
Mason McCullough,Diamondbacks,0,0,5.03,0,1,0,1,1,1,0,1,1,1.7,9.54,7.18,5.19,0,0,999,sa827446
Phoenix Sanders,Rays,0,0,5,0,1,0,1,1,1,0,1,1,1.6,7.45,5.34,5.19,0,0,999,sa3004098
Thomas Hatch,Cubs,0,0,5.07,0,0,0,1,1,1,0,1,0,1.52,7.21,4.45,5.19,0,0,999,sa738514
Nick Routt,,0,0,5.03,0,1,0,1,1,1,0,1,0,1.49,6.93,3.99,5.19,0,0,999,sa621594
Mitch Brown,,0,0,4.97,0,1,0,1,1,1,0,1,1,1.64,8.65,6.29,5.19,0,0,999,sa657957
Tommy Thorpe,,0,0,4.95,0,1,0,1,1,1,0,1,1,1.53,7.62,4.77,5.19,0,0,999,sa829121
Nattino Diplan,Brewers,0,0,5.05,0,1,0,1,1,1,0,1,1,1.61,7.41,5.24,5.19,0,0,999,sa737469
Sam Clay,Twins,0,0,4.87,0,1,0,1,1,1,0,1,1,1.66,7.5,5.98,5.19,0,0,999,sa828815
Conor Fisk,Blue Jays,0,0,5.14,0,1,0,1,1,1,0,1,0,1.42,6.72,3.17,5.19,0,0,999,sa549950
Alfredo Simon,,0,0,5.2,0,0,0,1,1,1,0,1,0,1.5,6.21,3.55,5.19,0,0,999,2155
Trevor Seidenberger,,0,0,4.99,0,1,0,1,1,1,0,1,1,1.56,7.36,4.88,5.19,0,0,999,sa738571
Daury Torrez,,0,0,5.09,0,1,0,1,1,1,0,1,0,1.45,6.31,3.28,5.19,0,0,999,sa596959
Ben Sheckler,Padres,0,0,4.92,0,1,0,1,1,1,0,1,1,1.63,5.56,4.83,5.19,0,-0.1,999,sa918099
Sergio Mitre,,0,0,5.2,0,0,0,1,1,1,0,1,0,1.54,5.15,3.48,5.19,0,0,999,1773
Evan Manarino,Athletics,0,0,5.08,0,0,0,1,1,1,0,1,0,1.47,5.16,3.01,5.19,0,0,999,sa875823
Colby Lewis,,0,0,5.27,0,0,0,1,1,1,0,1,0,1.39,6.16,2.36,5.2,0,0,999,1259
Brandon Bailey,Astros,0,0,5.14,0,0,0,1,1,1,0,1,0,1.47,8.05,4.28,5.2,0,0,999,sa873692
Matt Custred,Angels,0,0,4.87,0,1,0,1,1,1,0,1,1,1.56,8.07,5.53,5.2,0,0,999,sa876065
Drew Hasler,White Sox,0,0,5.12,0,1,0,1,1,1,0,1,0,1.49,5.65,3.19,5.2,0,0,999,sa876131
Josh D. Smith,Indians,0,0,4.96,0,0,0,1,1,1,0,1,1,1.51,7.41,4.57,5.2,0,0,999,sa599285
Bryan Valdez,Diamondbacks,0,0,5.18,0,1,0,1,1,1,0,1,0,1.58,6.29,4.36,5.2,0,0,999,sa919377
Chuck Weaver,Marlins,0,0,5.16,0,0,0,1,1,1,0,1,0,1.54,5.46,3.78,5.2,0,0,999,sa888170
Connor Kaden,Giants,0,0,4.94,0,1,0,1,1,1,0,1,1,1.69,6.02,5.76,5.2,0,-0.1,999,sa829437
Bubba Derby,Brewers,0,0,5.18,0,0,0,1,1,1,0,1,0,1.5,6.92,3.93,5.2,0,0,999,sa875183
Zach Muckenhirn,Orioles,0,0,4.98,0,1,0,1,1,1,0,1,0,1.51,7.12,4.13,5.2,0,0,999,sa915809
Brandon Gold,Rockies,0,0,5.48,0,0,0,1,1,1,0,1,0,1.55,5.17,3.02,5.2,0,0,999,sa872724
Blake Taylor,Mets,0,0,4.85,0,0,0,1,1,1,0,1,1,1.64,7.2,5.74,5.2,0,0,999,sa737558
Miguel Gonzalez,,4,3,5.27,19,0,0,1,1,1,0,1,0,1.45,5.96,2.94,5.2,0,0,999,7024
Rafael Pineda,Mariners,0,0,5.19,0,0,0,1,1,1,0,1,0,1.48,6.11,3.38,5.2,0,0,999,sa658959
Brandon Gomes,,0,0,5.16,0,1,0,1,1,1,0,1,0,1.47,7.16,3.75,5.2,0,0,999,2267
Jake Cosart,Red Sox,0,0,5.04,0,1,0,1,1,1,0,1,1,1.52,8.39,5.14,5.2,0,0,999,sa828802
Jesus Zambrano,Athletics,0,0,5.08,0,1,0,1,1,1,0,1,0,1.53,6.59,4.35,5.21,0,0,999,sa737066
Matt Bower,Angels,0,0,4.81,0,1,0,1,1,1,0,1,1,1.52,6.98,4.64,5.21,0,0,999,sa875356
Jon Malmin,,0,0,4.98,0,1,0,1,1,1,0,1,1,1.63,7.46,5.53,5.21,0,0,999,sa3002745
Pedro Araujo,Orioles,1,1,5.09,0,15,0,15,15,8,3,14,7,1.49,8.29,4.48,5.21,-0.1,-0.1,999,17697
Wil Ledezma,,0,0,4.95,0,1,0,1,1,1,0,1,1,1.62,6.87,5.24,5.21,0,0,999,1669
David Goforth,,0,0,5.04,0,1,0,1,1,1,0,1,0,1.49,6.86,4.1,5.21,0,0,999,12166
Jose De La Torre,,0,0,5.04,0,1,0,1,1,1,0,1,1,1.62,6.7,5.17,5.21,0,0,999,787
Mark Ecker,Tigers,0,0,5.16,0,1,0,1,1,1,0,1,1,1.54,7.58,4.65,5.21,0,0,999,sa918000
Lindsey Caughel,,0,0,5.11,0,1,0,1,1,1,0,1,0,1.39,6.72,2.94,5.21,0,0,999,sa578783
Miguel Castro,Orioles,2,2,5.08,0,45,0,45,48,25,7,34,22,1.57,6.79,4.48,5.21,-0.2,-0.3,600.8,15684
Jordan Guerrero,White Sox,0,0,5,0,0,0,1,1,1,0,1,0,1.5,6.82,4,5.21,0,0,999,sa658262
J.P. Feyereisen,Yankees,0,0,4.94,0,1,0,1,1,1,0,1,1,1.48,8.35,4.59,5.21,0,0,999,sa829227
Casey Janssen,,0,0,5.18,0,1,0,1,1,1,0,1,0,1.45,6.56,3.23,5.21,0,0,999,7355
Erich Uelmen,Cubs,0,0,5.15,0,0,0,1,1,1,0,1,1,1.62,6.03,4.79,5.21,0,0,999,sa915866
Cody Dickson,Pirates,0,0,5.13,0,0,0,1,1,1,0,1,1,1.65,7.33,5.52,5.22,0,0,999,sa737782
Brock Burke,Rangers,0,0,5.09,2,0,0,1,1,1,0,1,0,1.49,7.05,4.04,5.22,0,0,999,sa828798
Jeff Ames,Twins,0,0,5.03,0,1,0,1,1,1,0,1,1,1.51,8.73,5.12,5.22,0,0,999,sa503692
Ariel Miranda,,0,0,5.04,0,0,0,1,1,1,0,1,0,1.44,7.53,3.82,5.22,0,0,999,17526
Kelvis Valerio,,0,0,5.17,0,0,0,1,1,1,0,1,0,1.49,5.96,3.46,5.22,0,0,999,sa597112
Zac Ryan,Angels,0,0,4.91,0,1,0,1,1,1,0,1,1,1.52,7.7,4.89,5.22,0,0,999,sa873262
Mike Wallace,Pirates,0,0,5.39,0,0,0,1,1,1,0,1,0,1.59,4.78,3.48,5.22,0,0,999,sa857554
Jacob Brigham,Tigers,0,0,5.32,0,1,0,1,1,1,0,1,0,1.55,6.22,3.84,5.22,0,0,999,2851
Joseph Camacho,Athletics,0,0,5.11,0,1,0,1,1,1,0,1,0,1.53,6.94,4.42,5.22,0,0,999,sa913096
Joey DeNato,,0,0,4.94,0,1,0,1,1,1,0,1,1,1.56,7.56,5.12,5.22,0,0,999,sa621650
Nate Griep,Brewers,0,0,5.13,0,1,0,1,1,1,0,1,1,1.59,7.87,5.19,5.22,0,0,999,sa875199
Josh Conway,,0,0,5.09,0,1,0,1,1,1,0,1,1,1.6,8.22,5.58,5.22,0,0,999,sa503412
Ulises Joaquin,,0,0,5.17,0,1,0,1,1,1,0,1,0,1.52,6.18,3.84,5.22,0,0,999,sa597845
Tyler Zuber,Royals,0,0,5.1,0,1,0,1,1,1,0,1,1,1.58,7.03,5.03,5.23,0,0,999,sa915650
Michael Peoples,Indians,0,0,5.19,0,0,0,1,1,1,0,1,0,1.5,5.64,3.4,5.23,0,0,999,sa658314
Jason Garcia,,0,0,5.15,0,1,0,1,1,1,0,1,1,1.57,7.04,4.69,5.23,0,0,999,12143
Chris Young,,0,0,5.18,0,1,0,1,1,1,0,1,0,1.41,7.76,3.55,5.23,0,0,999,3196
Eric Stults,,0,0,5.25,0,0,0,1,1,1,0,1,0,1.45,6.17,2.92,5.23,0,0,999,8011
Kyle Funkhouser,Tigers,0,0,5.3,0,0,0,1,1,1,0,1,0,1.55,6.9,4.27,5.23,0,0,999,sa827397
Blake McKnight,,0,0,5.13,0,1,0,1,1,1,0,1,0,1.58,5.94,4.31,5.23,0,0,999,sa738934
Shane Watson,Diamondbacks,0,0,5.31,0,0,0,1,1,1,0,1,0,1.55,6.55,4.16,5.23,0,0,999,sa657857
Ian Clarkin,Cubs,0,0,5.05,0,0,0,1,1,1,0,1,0,1.57,5.92,4.33,5.23,0,0,999,sa737534
Greg Mahle,Angels,0,0,4.86,0,1,0,1,1,1,0,1,0,1.48,6.5,4.04,5.23,0,0,999,16877
Tim Dillard,Brewers,0,0,5.24,0,1,0,1,1,1,0,1,0,1.51,7.16,3.97,5.23,0,0,999,5518
Cory Riordan,Tigers,0,0,5.33,0,0,0,1,1,1,0,1,0,1.43,5.95,2.57,5.23,0,0,999,sa390235
Jim McDade,Padres,0,0,5.23,0,0,0,1,1,1,0,1,0,1.54,5.63,3.72,5.23,0,0,999,sa873279
Pedro Hernandez,,0,0,5.15,0,0,0,1,1,1,0,1,0,1.52,5.72,3.56,5.23,0,0,999,4578
Tyler Cravy,,0,0,5.15,0,1,0,1,1,1,0,1,0,1.5,7.14,4.13,5.23,0,0,999,10770
Justin Donatella,Diamondbacks,0,0,5.27,0,0,0,1,1,1,0,1,0,1.49,6.69,3.73,5.23,0,0,999,sa875616
Jean Cosme,Padres,0,0,5.17,0,0,0,1,1,1,0,1,0,1.57,6.05,4.27,5.23,0,0,999,sa829216
Tommy Collier,,0,0,5.23,0,0,0,1,1,1,0,1,0,1.44,6.17,2.96,5.23,0,0,999,sa503829
Zach Hirsch,,0,0,5.05,0,1,0,1,1,1,0,1,1,1.59,6.43,4.64,5.24,0,0,999,sa829456
Taylor Braley,Marlins,0,0,5.17,0,0,0,1,1,1,0,1,0,1.59,5.19,4.17,5.24,0,0,999,sa3005145
Mark Blackmar,,0,0,5.25,0,0,0,1,1,1,0,1,0,1.54,5.64,3.65,5.24,0,0,999,sa549945
Craig Breslow,,0,0,5.04,0,1,0,1,1,1,0,1,0,1.55,6.95,4.44,5.24,0,0,999,4363
Edgar Arredondo,Rangers,0,0,5.23,0,0,0,1,1,1,0,1,0,1.44,6.14,2.95,5.24,0,0,999,sa732750
Joel De La Cruz,,0,0,5.25,0,0,0,1,1,1,0,1,0,1.52,6.08,3.57,5.24,0,0,999,12825
Taylor Hill,,0,0,5.1,0,1,0,1,1,1,0,1,0,1.39,5.58,2.42,5.24,0,0,999,12515
Marcos Molina,,0,0,5.22,0,0,0,1,1,1,0,1,0,1.49,6.4,3.57,5.24,0,0,999,sa657917
Pedro Vasquez,Pirates,0,0,5.34,0,0,0,1,1,1,0,1,0,1.49,6.06,3.25,5.24,0,0,999,sa872824
Ricky Knapp,,0,0,5.24,0,0,0,1,1,1,0,1,0,1.46,5.43,2.79,5.24,0,0,999,sa550202
Chase Johnson-Mullins,,0,0,4.88,0,1,0,1,1,1,0,1,1,1.7,6.89,6.03,5.24,0,0,999,sa877875
Dustin Crenshaw,,0,0,5.25,0,0,0,1,1,1,0,1,0,1.49,4.84,2.8,5.24,0,0,999,sa3001062
Richelson Pena,Rangers,0,0,5.27,0,0,0,1,1,1,0,1,0,1.45,5.9,2.9,5.24,0,0,999,sa597847
Tyler Johnson,White Sox,0,0,5.03,0,1,0,1,1,1,0,1,1,1.62,8.47,5.92,5.24,0,0,999,sa915688
Dale Thayer,,0,0,5.26,0,1,0,1,1,1,0,1,0,1.49,6.69,3.71,5.24,0,0,999,5032
Edwin Jackson,,3,3,5.21,16,0,0,1,1,1,0,1,0,1.49,7.29,3.96,5.24,0,0,597.8,1841
Nick Struck,,0,0,5.11,0,1,0,1,1,1,0,1,1,1.61,6.45,4.9,5.24,0,0,999,sa503356
McKenzie Mills,Marlins,0,0,5.05,0,0,0,1,1,1,0,1,0,1.45,6.79,3.79,5.25,0,0,999,sa829294
Matt Moore,Tigers,3,3,5.33,16,0,0,1,1,1,0,1,0,1.48,6.72,3.45,5.25,0,0,600.8,1890
Dominic DeMasi,Indians,0,0,5.19,0,0,0,1,1,1,0,1,0,1.49,5.41,3.28,5.25,0,0,999,sa829567
David Carpenter,Rangers,0,0,5.26,0,1,0,1,1,1,0,1,0,1.52,7.42,4.23,5.25,0,0,999,3959
Jake Dunning,,0,0,5.19,0,1,0,1,1,1,0,1,0,1.56,6.54,4.37,5.25,0,0,999,10803
Brody Koerner,Yankees,0,0,5.14,0,0,0,1,1,1,0,1,0,1.48,5.66,3.18,5.25,0,0,999,sa875744
Adonis Medina,Phillies,0,0,5.15,2,0,0,1,1,1,0,1,0,1.54,7.28,4.48,5.25,0,0,999,sa832877
Sandy Baez,Tigers,1,1,5.24,0,25,0,25,27,15,4,20,10,1.48,7.02,3.73,5.26,-0.2,-0.2,999,17754
Matt Sergey,,0,0,5.19,0,1,0,1,1,1,0,1,1,1.58,7.84,5.12,5.26,0,0,999,sa921222
Ben Braymer,Nationals,0,0,5.03,0,0,0,1,1,1,0,1,1,1.55,7.01,4.61,5.26,0,0,999,sa918477
Billy Strode,,0,0,4.99,0,1,0,1,1,1,0,1,1,1.62,6.22,4.99,5.26,0,0,999,sa857589
Justin Nicolino,Twins,0,0,5.23,0,0,0,1,1,1,0,1,0,1.47,5.28,2.84,5.26,0,0,999,11754
Jorge Martinez,,0,0,5.25,0,0,0,1,1,1,0,1,0,1.52,5.19,3.27,5.26,0,0,999,sa3001059
Josh Outman,Yankees,0,0,5,0,1,0,1,1,1,0,1,0,1.51,6.62,3.94,5.26,0,0,999,4004
Kyle Friedrichs,Athletics,0,0,5.24,0,0,0,1,1,1,0,1,0,1.47,5.39,3.16,5.26,0,0,999,sa875229
Ryan Koziol,Giants,0,0,5.02,0,1,0,1,1,1,0,1,1,1.67,5.6,5.36,5.26,0,-0.1,999,sa878100
Aaron Blair,,0,0,5.2,0,0,0,1,1,1,0,1,0,1.51,7,4.21,5.26,0,0,999,14934
Derrick Loop,,0,0,5.01,0,1,0,1,1,1,0,1,1,1.61,6.74,5.04,5.26,0,0,999,sa328208
Adam Lau,Red Sox,0,0,5.13,0,1,0,1,1,1,0,1,1,1.56,7.79,5.19,5.26,0,0,999,sa876250
Adrian Almeida,Angels,0,0,4.73,0,1,0,1,1,1,0,1,1,1.67,8.42,6.77,5.26,0,0,999,sa658087
Markus Solbach,Dodgers,0,0,5.14,0,0,0,1,1,1,0,1,0,1.48,5.98,3.47,5.26,0,0,999,sa599472
Dalton Sawyer,Athletics,0,0,5.1,0,0,0,1,1,1,0,1,0,1.5,6.76,4.12,5.26,0,0,999,sa875849
Gabe Cramer,,0,0,5.09,0,1,0,1,1,1,0,1,1,1.63,8.06,5.81,5.26,0,0,999,sa879639
Matt Manning,Tigers,0,0,5.28,0,0,0,1,1,1,0,1,1,1.55,7.7,4.77,5.26,0,0,999,sa917924
A.J. Achter,,0,0,5.18,0,1,0,1,1,1,0,1,0,1.49,6.57,3.73,5.26,0,0,999,11387
Matt Whitehouse,Indians,0,0,5.07,0,0,0,1,1,1,0,1,0,1.51,6.58,4.12,5.26,0,0,999,sa738202
Tom Robson,Blue Jays,0,0,5.18,0,1,0,1,1,1,0,1,1,1.6,6.81,4.9,5.27,0,0,999,sa597959
Hunter Harvey,Orioles,0,0,5.29,2,0,0,1,1,1,0,1,0,1.46,7.15,3.47,5.27,0,0,600.2,sa737510
Kuehl McEachern,,0,0,5.15,0,1,0,1,1,1,0,1,1,1.61,6.42,4.86,5.27,0,0,999,sa829752
Yefry Ramirez,Orioles,2,2,5.2,5,15,0,36,37,21,7,33,16,1.44,8.11,3.86,5.27,0.1,0,999,15655
Randy Pondler,Blue Jays,0,0,5.25,0,0,0,1,1,1,0,1,0,1.55,5.85,3.86,5.27,0,0,999,sa919219
Chad Billingsley,,0,0,5.36,0,0,0,1,1,1,0,1,0,1.47,5.14,2.61,5.27,0,0,999,5842
Austin Fleet,,0,0,5.18,0,1,0,1,1,1,0,1,0,1.48,7.13,3.9,5.27,0,0,999,sa549259
Tim Melville,,0,0,5.18,0,1,0,1,1,1,0,1,0,1.48,7.31,4.04,5.27,0,0,999,9149
Carlos Pimentel,,0,0,5.26,0,0,0,1,1,1,0,1,0,1.48,7,3.73,5.27,0,0,999,sa393262
Sean Brady,Indians,0,0,5.13,0,0,0,1,1,1,0,1,0,1.53,5.35,3.7,5.27,0,0,999,sa737808
Alec Asher,,0,0,5.21,0,1,0,1,1,1,0,1,0,1.44,5.9,2.91,5.27,0,0,999,13560
Casey Delgado,,0,0,5.23,0,0,0,1,1,1,0,1,0,1.53,6.31,3.98,5.27,0,0,999,sa872243
Ashton Goudeau,,0,0,5.24,0,0,0,1,1,1,0,1,0,1.49,6.13,3.49,5.27,0,0,999,sa658634
Blake Rogers,Padres,0,0,5.11,0,1,0,1,1,1,0,1,1,1.64,6.98,5.44,5.27,0,-0.1,999,sa876290
Nick Raquet,Nationals,0,0,5.1,0,0,0,1,1,1,0,1,0,1.62,5.09,4.33,5.27,0,0,999,sa3004658
Ryan Moseley,Dodgers,0,0,4.93,0,1,0,1,1,1,0,1,1,1.7,6.94,6.18,5.27,0,-0.1,999,sa738670
Jorge Tavarez,Angels,0,0,4.95,0,1,0,1,1,1,0,1,1,1.63,6.97,5.54,5.27,0,0,999,sa872546
